Unnamed: 2,Unnamed: 3,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10
רחוב: יוני נתניהו 1,,,,,,
"אור יהודה, 6037601",,,,,,
טלפון 6754200 (03),,,,,,
פקס 153-35386394,,,,,,
טופס הזמנת רכש,,,,,,
מספר הזמנה:,2025-1,,,,,
תאריך הזמנה:,2025-01-19 00:00:00,מספר ספק,,,,
שם ספק\חברה:,HYP,6,,,,
איש קשר:,כפיר,,,,,
טלפון איש קשר:,052-3411126,,,,,
תיאור מוצר,פירוט מוצר,,סידורי,כמות,מחיר,"סה""כ"
Lane 3000 - מסופון אשראי,מסופון אשראי - ingenico,,100-000234,17,650,11050
Lane 3000 - מעמד יעודי,מעמד למסופון אשראי,,200-000242,17,150,2550
,,,,,,13600
עבור:,זארה קריון (חנות מספר 16364 ),,,סוג תקציב:,השקעות,
מיקום:,משרדי החברה - אור יהודה,,,,,
,,,,מס' תקציב:,80030,
חשבונית עבור:,גוטקס מותגים - 540212594,,,,,
תנאי תשלום:,שוטף + 38,,,,,
שירות \ אחריות:,שנה,,,,,
"מע""מ:",לא כולל - 18%,,,חתימה:,,
,,2020-02-06 00:00:00,,,,
,,2020-02-06 00:00:00,,,,
,,2020-02-06 00:00:00,,,,
,,טבלת ניהול הזמנות רכש,,,,
,,תאריך הזמנה,מספר הזמנה,שם ספק,,
,,2020-01-05 00:00:00,2020-1,CHIP,,
,,2020-01-06 00:00:00,2020-2,CHIP,,
,,2020-01-06 00:00:00,2020-3,Top Solutions - נמלה,,
,,2020-01-08 00:00:00,2020-4,ננוקס,,
,,2020-01-09 00:00:00,2020-5,UniCloud,,
,,2020-01-14 00:00:00,2020-6,Memorex,,
,,2020-01-15 00:00:00,2020-7,"ניאוטק פתרונות מחשוב בע""מ",,
,,2020-01-15 00:00:00,2020-8,CHIP,,
,,2020-01-15 00:00:00,2020-9,CHIP,,
,,2020-01-15 00:00:00,2020-10,"ניאוטק פתרונות מחשוב בע""מ",,
,,2020-01-20 00:00:00,2020-11,"ניאוטק פתרונות מחשוב בע""מ",,
,,2020-01-26 00:00:00,2020-12,"ניאוטק פתרונות מחשוב בע""מ",,
,,2020-01-26 00:00:00,2020-13,"ניאוטק פתרונות מחשוב בע""מ",,
,,2020-01-28 00:00:00,2020-14,Alexit,,
,,2020-01-29 00:00:00,2020-15,Dprint,,
,,2020-01-29 00:00:00,2020-16,Dprint,,
,,2020-01-29 00:00:00,2020-17,Microdis,,
,,2020-01-29 00:00:00,2020-18,"ניאוטק פתרונות מחשוב בע""מ",,
,,2020-01-29 00:00:00,2020-19,"ניאוטק פתרונות מחשוב בע""מ",,
,,2020-01-29 00:00:00,2020-20,"ניאוטק פתרונות מחשוב בע""מ",,
,,2020-01-30 00:00:00,2020-21,Alexit,,
,,2020-01-30 00:00:00,2020-22,ננוקס,,
,,2020-02-03 00:00:00,2020-23,Dimex,,
,,2020-02-03 00:00:00,2020-24,CHIP,,
,,2020-02-03 00:00:00,2020-25,Dimex,,
,,2020-02-03 00:00:00,2020-26,ממטל,,
,,2020-02-04 00:00:00,2020-27,Unique,,
,,2020-02-04 00:00:00,2020-28,EMET,,
,,2020-02-06 00:00:00,2020-29,Alexit,,
